ds,yhat
2025-08-08 15:15:13,0.001888425973900534
2025-08-09 15:15:13,0.03975586603158809
2025-08-10 15:15:13,0.0
2025-08-11 15:15:13,0.0
2025-08-12 15:15:13,0.0004102768789685414
2025-08-13 15:15:13,0.001976820816627386
2025-08-14 15:15:13,0.0024901832121157486
2025-08-15 15:15:13,0.00225303664941952
2025-08-16 15:15:13,0.0401204767070324
2025-08-17 15:15:13,0.0
2025-08-18 15:15:13,0.0
2025-08-19 15:15:13,0.0007748875543785458
2025-08-20 15:15:13,0.002341431492035761
2025-08-21 15:15:13,0.0028547938874914957
