ds,yhat
2025-08-10 01:00:13,0.06413284682531122
2025-08-11 01:00:13,0.0
2025-08-12 01:00:13,0.0010126371838648646
2025-08-13 01:00:13,0.002821494022293751
2025-08-14 01:00:13,0.0018552676629749413
2025-08-15 01:00:13,0.0013180828296558127
2025-08-16 01:00:13,0.0
2025-08-17 01:00:13,0.06446690544162938
2025-08-18 01:00:13,0.0
2025-08-19 01:00:13,0.0013466957999724131
2025-08-20 01:00:13,0.0031555526388028065
2025-08-21 01:00:13,0.0021893262789846758
2025-08-22 01:00:13,0.0016521414460432295
2025-08-23 01:00:13,0.0
