ds,yhat
2025-08-09 21:18:57,0.0
2025-08-10 21:18:57,0.03581585131709769
2025-08-11 21:18:57,0.0
2025-08-12 21:18:57,0.0012303503699817569
2025-08-13 21:18:57,0.0022055098412999043
2025-08-14 21:18:57,0.0031537593760427723
2025-08-15 21:18:57,0.0025939996685291726
2025-08-16 21:18:57,0.0
2025-08-17 21:18:57,0.036280811369948276
2025-08-18 21:18:57,0.0
2025-08-19 21:18:57,0.0016953104228200344
2025-08-20 21:18:57,0.002670469894125718
2025-08-21 21:18:57,0.0036187194288606513
2025-08-22 21:18:57,0.003058959721311383
