ds,yhat
2025-08-08 10:02:08,0.0014172214787703807
2025-08-09 10:02:08,0.00010514024498139117
2025-08-10 10:02:08,0.0034706085956791735
2025-08-11 10:02:08,0.07294957028025414
2025-08-12 10:02:08,0.0
2025-08-13 10:02:08,0.0
2025-08-14 10:02:08,0.00025855989452243724
2025-08-15 10:02:08,0.0007356671545798894
2025-08-16 10:02:08,0.0
2025-08-17 10:02:08,0.002921609726763058
2025-08-18 10:02:08,0.07180864900795966
2025-08-19 10:02:08,0.0
2025-08-20 10:02:08,0.0
2025-08-21 10:02:08,0.0004451223567051264
